🇨🇳 4K & 8K频道,#genre#
CCTV1,http://183.188.229.144:6000/rtp/226.0.1.157:3086$1920x1080
CCTV1,http://36.56.21.99:4022/rtp/238.1.78.166:7200$1920x1080
CCTV1,http://27.184.66.210:1024/rtp/239.254.200.45:8008$1920x1080
CCTV1,http://118.79.139.119:6002/rtp/226.0.1.157:3086$1920x1080
CCTV1,http://123.101.207.62:9000/rtp/239.16.10.1:2000$1920x1080
CCTV1,http://27.184.19.130:4022/rtp/239.254.200.45:8008$1920x1080
CCTV1,http://171.119.207.218:6001/rtp/226.0.1.157:3086
CCTV1,http://61.134.200.65:8083/rtp/226.0.1.157:3086
CCTV1,http://221.205.60.71:8083/rtp/226.0.1.157:3086
CCTV1,http://183.184.60.128:8084/rtp/226.0.1.157:3086
CCTV2,http://111.227.200.55:4000/rtp/239.254.200.158:6000$1920x1080
CCTV2,http://106.42.108.200:2001/rtp/239.16.10.127:2000$1920x1080
CCTV2,http://106.42.108.200:2002/rtp/239.16.10.127:2000$1920x1080
CCTV2,http://27.184.66.210:1024/rtp/239.254.200.158:6000$1920x1080
CCTV2,http://183.188.229.144:6000/rtp/226.0.1.158:3087$1920x1080
CCTV2,http://118.79.139.119:6002/rtp/226.0.1.158:3087$1920x1080
CCTV2,http://61.134.200.65:8083/rtp/226.0.1.158:3087$1920x1080
CCTV2,http://27.184.19.130:4022/rtp/239.254.200.158:6000$1920x1080
CCTV2,http://123.101.207.62:9000/rtp/239.16.10.127:2000$1920x1080
CCTV2,http://61.130.232.37:8881/rtp/233.50.200.47:5140$720x576
CCTV2,http://183.135.224.218:4022/rtp/233.50.200.47:5140$720x576
CCTV2,http://115.215.52.219:9999/rtp/233.50.200.47:5140$720x576
CCTV2,http://218.71.48.228:9999/rtp/233.50.200.47:5140$720x576
CCTV2,http://223.112.219.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://221.205.60.71:8083/rtp/226.0.1.158:3087
CCTV3,http://27.184.19.130:4022/rtp/239.254.201.152:7205
CCTV3,http://27.184.66.210:1024/rtp/239.254.201.152:7205
CCTV3,http://111.227.200.55:4000/rtp/239.254.201.152:7205
CCTV3,http://223.112.219.174:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://118.79.139.119:6002/rtp/226.0.1.141:2018
CCTV3,http://183.188.229.144:6000/rtp/226.0.1.141:2018
