武侠剧场,rtp//:239.252.220.88:5140
爱生活,rtp//:239.252.220.89:5140
好学生,rtp//:239.252.220.90:5140
精选,rtp//:239.252.219.161:5140
国学,rtp//:239.252.220.157:5140
戏曲,rtp//:239.252.219.163:5140
CETV早期教育,rtp//:239.252.219.164:5140
动画,rtp//:239.252.219.165:5140
鉴赏,rtp//:239.252.219.166:5140
墨宝,rtp//:239.252.219.168:5140
光影,rtp//:239.252.220.200:5140
台球,rtp//:239.252.220.201:5140
美人,rtp//:239.252.220.202:5140
武术,rtp//:239.252.220.203:5140
CCTV-高尔夫网球,rtp//:239.252.220.204:5140
足球,rtp//:239.252.220.205:5140
军事,rtp//:239.252.220.206:5140
地理,rtp//:239.252.220.207:5140
美妆,rtp//:239.252.220.208:5140
解密,rtp//:239.252.220.209:5140
星影,rtp//:239.252.220.210:5140
iHOT爱体育,rtp//:239.252.220.211:5140
iHOT爱上-4k,rtp//:239.252.220.212:5140
