电信,#genre#
西藏藏语,rtp://238.125.3.94:5140
CGTN法语,rtp://238.125.3.99:5140
CCTV14,rtp://238.125.4.10:5140
CCTV15,rtp://238.125.4.11:5140
XJTV01,rtp://238.125.4.12:5140
兵团卫视,rtp://238.125.4.13:5140
东方卫视,rtp://238.125.4.14:5140
湖南卫视,rtp://238.125.4.15:5140
安徽卫视,rtp://238.125.4.16:5140
江苏,rtp://238.125.4.17:5140
浙江卫视,rtp://238.125.4.18:5140
海南卫视,rtp://238.125.4.19:5140
广西卫视,rtp://238.125.4.20:5140
四川卫视,rtp://238.125.4.21:5140
山东卫视,rtp://238.125.4.22:5140
辽宁,rtp://238.125.4.23:5140
北京卫视,rtp://238.125.4.24:5140
广东卫视,rtp://238.125.4.25:5140
东南卫视,rtp://238.125.4.26:5140
重庆卫视,rtp://238.125.4.27:5140
2.5M-炫动卡通,rtp://238.125.4.28:5140
河南卫视,rtp://238.125.4.29:5140
天津卫视,rtp://238.125.4.30:5140
江西卫视,rtp://238.125.4.31:5140
湖北卫视,rtp://238.125.4.32:5140
山西卫视,rtp://238.125.4.33:5140
贵州卫视,rtp://238.125.4.34:5140
CETV-1,rtp://238.125.4.35:5140
CETV-4,rtp://238.125.4.37:5140
金鹰卡通,rtp://238.125.4.38:5140
青海卫视,rtp://238.125.4.39:5140
吉林卫视,rtp://238.125.4.40:5140
黑龙江卫视,rtp://238.125.4.41:5140
深圳卫视,rtp://238.125.4.42:5140
西藏,rtp://238.125.4.43:5140
内蒙古卫视,rtp://238.125.4.44:5140
甘肃卫视,rtp://238.125.4.45:5140
宁夏卫视,rtp://238.125.4.46:5140
金色频道2.5--2-1,rtp://238.125.4.47:5140
都市剧场2.5--2-2,rtp://238.125.4.48:5140
动漫秀场2.5-2-3,rtp://238.125.4.50:5140
全纪实2.5-2-4,rtp://238.125.4.52:5140
法治天地2.5-2-5,rtp://238.125.4.53:5140
东方财经 HD,rtp://238.125.4.54:5140
游戏风云-2.5-3-2,rtp://238.125.4.58:5140
sitv-时尚生活2.5--2-1,rtp://238.125.4.65:5140
中华特产,rtp://238.125.4.71:5140
优优宝贝,rtp://238.125.4.72:5140
环球旅游,rtp://238.125.4.73:5140
生态环境,rtp://238.125.4.74:5140
